"","powerball","bench_press"
"1",28.3,1
"2",28.9,2
"3",29.5,3
"4",30.1,4
"5",30.7,5
"6",31.3,6
"7",31.9,7
"8",32.5,8
"9",33.1,9
"10",33.7,10
"11",34.3,11
"12",34.9,12
"13",35.5,13
"14",36.1,14
"15",36.7,15
"16",37.3,16
"17",37.9,17
"18",38.5,18
"19",39.1,19
"20",39.7,20
"21",40.3,21
"22",40.9,22
"23",41.5,23
"24",42.1,24
"25",42.7,25
"26",43.3,26
"27",43.9,27
"28",44.5,28
"29",45.1,29
"30",45.7,30
"31",46.3,31
"32",46.9,32
"33",47.5,33
"34",48.1,34
"35",48.7,35
"36",49.3,36
"37",49.9,37
"38",50.5,38
"39",51.1,39
"40",51.7,40
"41",52.3,41
"42",52.9,42
"43",53.5,43
"44",54.1,44
"45",54.7,45
"46",55.3,46
"47",55.9,47
"48",56.5,48
"49",57.1,49
"50",57.7,50
"51",58.3,51
"52",58.9,52
"53",59.5,53
"54",60.1,54
"55",60.7,55
"56",61.3,56
"57",61.9,57
"58",62.5,58
"59",63.1,59
"60",63.7,60
