first_name,last_name,draft,games,tfls,sacks,production_ratio
Jamie,Blatnick,8,25.0,19.0,13.5,1.3
Nigel,Bradham,4,27.0,15.0,7.0,0.81
Andre,Branch,2,27.0,25.5,15.5,1.52
Quinton,Coples,1,26.0,30.5,17.5,1.85
Tyrone,Crawford,3,25.0,27.0,13.5,1.62
Darius,Fleming,5,26.0,17.5,9.0,1.02
Melvin,Ingram,1,27.0,26.0,19.0,1.67
Jamaar,Jarrett,8,25.0,16.0,6.5,0.9
Ronnell,Lewis,4,21.0,18.0,9.0,1.29
Brandon,Lindsey,8,26.0,29.0,18.5,1.83
Jonathan,Massaquoi,5,25.0,31.0,19.5,2.02
Shea,McClellin,1,26.0,26.0,16.5,1.63
Whitney,Mercilus,1,26.0,25.5,17.0,1.63
Derrick,Shelby,8,25.0,16.5,7.0,0.94
Jacquies,Smith,8,17.0,14.0,7.0,1.24
Scott,Solomon,7,24.0,24.0,15.0,1.63
Nathan,Stupar,7,26.0,12.0,4.0,0.62
Olivier,Vernon,3,19.0,14.0,7.5,1.13
Kyle,Wilber,4,25.0,26.0,9.5,1.42
Billy,Winn,6,26.0,17.5,7.5,0.96
Sam,Acho,8,26.0,28.5,17.0,1.75
Akeem,Ayers,2,25.0,24.5,10.0,1.38
Allen,Bailey,3,26.0,22.0,14.0,1.38
Brandon,Bair,8,26.0,24.5,5.0,1.13
Ugo,Chinasa,8,26.0,15.0,10.5,0.98
Ricky,Elmore,6,26.0,24.5,21.5,1.77
Mason,Foster,8,25.0,21.5,8.5,1.2
Ross,Homan,6,24.0,7.0,3.0,0.42
Justin,Houston,3,23.0,33.5,17.5,2.22
Cliff,Matthews,7,26.0,18.5,12.5,1.19
Pernell,McPhee,5,25.0,22.0,7.0,1.16
Von,Miller,1,26.0,39.0,27.5,2.56
Dontay,Moch,3,27.0,42.0,15.0,2.11
Cheta,Ozougwu,7,24.0,16.5,7.5,1.0
Robert,Quinn,1,25.0,25.5,13.0,1.54
Brooks,Reed,2,23.0,15.0,8.5,1.02
D'Aundre,Reed,7,26.0,8.5,4.5,0.5
Aldon,Smith,1,23.0,23.0,14.5,1.63
Markus,White,8,27.0,23.0,10.0,1.22
Ryan,Winterswyk,8,27.0,26.0,10.5,1.35
Tyson,Alualu,1,26.0,22.5,13.5,1.38
Kevin,Basped,8,25.0,31.0,19.5,2.02
Navorro,Bowman,3,24.0,33.5,7.0,1.69
Kavell,Conner,7,27.0,12.5,3.0,0.57
Carlos,Dunlap,2,27.0,24.0,18.5,1.57
A.J.,Edds,8,26.0,8.5,2.0,0.4
Junior,Galette,8,22.0,21.5,15.0,1.66
Thaddeus,Gibson,4,26.0,22.0,9.0,1.19
Sergio,Kindle,8,27.0,27.5,16.0,1.61
Jammie,Kirlew,7,24.0,35.0,17.0,2.17
Brandon,Lang,8,26.0,31.5,20.0,1.98
Roddrick,Muckelroy,4,26.0,12.5,2.0,0.56
Jason,Pierre-Paul,1,13.0,16.5,6.5,1.77
Ricky,Sapp,5,24.0,23.5,7.5,1.29
George,Selvie,7,25.0,22.5,8.5,1.24
Daniel,Te'o-Nesheim,3,24.0,24.5,18.0,1.77
Lindsey,Witten,8,24.0,19.0,16.5,1.48
Jason,Worilds,2,26.0,29.5,12.5,1.62
Robert,Ayers,1,26.0,27.5,7.0,1.33
Connor,Barwin,2,26.0,14.5,11.0,0.98
Everette,Brown,2,26.0,33.0,20.0,2.04
Victor,Butler,4,26.0,34.0,22.5,2.17
Brian,Cushing,1,23.0,13.0,4.0,0.74
Pannel,Egboh,8,24.0,18.0,7.5,1.06
Larry,English,1,25.0,31.5,18.5,2.0
Maurice,Evans,8,23.0,26.0,15.5,1.8
Jarron,Gilbert,3,24.0,29.5,13.5,1.79
Tim,Jamison,8,25.0,20.5,11.0,1.26
Paul,Kruger,2,26.0,24.0,10.5,1.33
Orion,Martin,8,28.0,23.5,14.0,1.34
Aaron,Maybin,1,26.0,24.5,16.0,1.56
Zach,Potter,8,25.0,21.5,8.0,1.18
Stryker,Sulak,8,28.0,26.5,16.5,1.54
David,Veikune,2,27.0,25.0,16.0,1.52
Jarius,Wynn,6,26.0,5.0,4.0,0.35
Cliff,Avril,3,27.0,30.0,12.5,1.57
Calais,Campbell,2,25.0,33.0,17.0,2.0
Joe,Clermond,8,24.0,29.5,16.0,1.9
Shawn,Crable,3,26.0,40.5,13.5,2.08
Curtis,Gatewood,8,24.0,15.0,10.5,1.06
Jeremy,Geathers,8,23.0,16.0,11.0,1.17
Vernon,Gholston,1,26.0,30.5,22.5,2.04
Quentin,Groves,2,24.0,19.0,12.5,1.31
Gary,Guyton,8,27.0,21.5,6.0,1.02
Erin,Henderson,8,25.0,17.5,2.0,0.78
Mike,Humpal,6,24.0,10.5,1.0,0.48
Bryan,Kehl,4,26.0,19.5,6.5,1.0
Chase,Ortiz,8,26.0,27.5,11.5,1.5
Dorian,Smith,8,23.0,21.5,14.5,1.57
CJ,Ah,7,26.0,18.5,10.5,1.12
Antwan,Barnes,4,23.0,38.0,15.5,2.33
Dan,Bazuin,8,24.0,41.5,26.5,2.83
Larry,Birdine,8,14.0,7.5,3.0,0.75
Quincy,Black,3,24.0,4.5,1.5,0.25
Stewart,Bradley,3,20.0,9.0,4.0,0.65
Adam,Carriker,1,26.0,28.5,16.5,1.73
Jay,Moore,8,26.0,26.0,9.0,1.35
Quentin,Moses,3,26.0,32.5,16.0,1.87
Anthony,Spencer,1,25.0,32.0,12.5,1.78
Abraham,Wright,8,25.0,21.0,17.0,1.52
Jason,Hatcher,8,18.0,11.0,3.5,0.81
Clint,Ingram,3,12.0,10.5,5.0,1.29
Stanley,McClover,7,10.0,13.5,8.0,2.15
Mario,Williams,1,12.0,24.0,14.5,3.21
James,Wyche,7,11.0,6.5,4.5,1.0
Jared,Allen,8,12.0,2554.0,8.8,213.57
Constantin,Ritzmann,8,12.0,0.0,0.0,0.0
Carlos,Hall,7,22.0,0.0,0.0,0.0
John,Stamper,8,24.0,1.0,0.0,0.04
Ross,Kolodziej,7,12.0,0.0,0.0,0.0
Dwayne,Missouri,8,11.0,0.0,0.0,0.0
Robert,Daniel,8,24.0,1.0,1.0,0.08
Derrick,Ham,3,26.0,12.0,38.0,1.92
Arnold,Miller,8,10.0,0.0,7.0,0.7
