name,sacks,year,draft,production_ratio,production_ratio_zscore,production_ratio_percent_rank,sparq,sparq_zscore,sparq_percent_rank
Andre Branch,14,2012,2,1.52,0.34,0.58,118.41,0.15,0.54
Quinton Coples,16.5,2012,1,1.85,0.9,0.83,111.8,-0.34,0.366
Tyrone Crawford,8,2012,3,1.62,0.51,0.67,119.94,0.26,0.596
Melvin Ingram,16.5,2012,1,1.67,0.59,0.73,132.85,1.22,0.879
Bruce Irvin,22,2012,1,1.98,1.04,0.85,137.97,1.6,0.93
Malik Jackson,14.5,2012,5,1.18,-0.29,0.34,110.83,-0.41,0.339
Jonathan Massaquoi,6,2012,5,2.02,1.19,0.89,108.25,-0.6,0.286
Shea McClellin,7.5,2012,1,1.63,0.53,0.68,116.43,0,0.494
Whitney Mercilus,30,2012,1,1.63,0.53,0.68,116.59,0.02,0.5
Derrick Shelby,9,2012,8,0.94,-0.65,0.21,116.33,0,0.491
Jacquies Smith,13.5,2012,8,1.24,-0.14,0.41,112.22,-0.31,0.398
Scott Solomon,2,2012,7,1.63,0.53,0.68,129.4,0.97,0.839
Olivier Vernon,29,2012,3,1.13,-0.33,0.32,123.45,0.52,0.693
Kyle Wilber,3.5,2012,4,1.42,0.17,0.55,119.08,0.2,0.568
Billy Winn,3,2012,6,0.96,-0.62,0.22,109.37,-0.52,0.32
Sam Acho,13,2011,8,1.75,0.73,0.76,122.34,0.44,0.668
Akeem Ayers,13,2011,2,1.38,0.1,0.52,107.49,-0.66,0.261
Allen Bailey,7,2011,3,1.38,0.1,0.52,127.77,0.84,0.811
Brandon Bair,1.5,2011,8,1.13,-0.33,0.32,108.47,-0.58,0.295
Justin Houston,48.5,2011,3,2.22,1.53,0.97,136.2,1.47,0.919
Ryan Kerrigan,38,2011,1,2.92,2.61,1,128.9,0.93,0.832
Cliff Matthews,0,2011,7,1.19,-0.23,0.37,106.12,-0.76,0.224
Pernell McPhee,17,2011,5,1.16,-0.28,0.34,97.88,-1.37,0.084
Von Miller,49,2011,1,2.56,2.12,0.99,140.7,1.8,0.966
Cheta Ozougwu,1,2011,7,1,-0.55,0.24,117.03,0.05,0.509
Robert Quinn,45,2011,1,1.54,0.37,0.6,122.42,0.45,0.671
Brooks Reed,14.5,2011,2,1.02,-0.52,0.27,126.24,0.73,0.764
D'Aundre Reed,10,2011,7,0.5,-1.41,0.1,125.51,0.68,0.745
Aldon Smith,44,2011,1,1.63,0.53,0.68,112.39,-0.29,0.404
JJ Watt,57,2011,1,1.84,0.9,0.83,143.36,2,0.981
Tyson Alualu,11,2010,1,1.38,0.1,0.52,120.76,0.33,0.627
Carlos Dunlap,27.5,2010,2,1.57,0.42,0.63,111.87,-0.33,0.379
Junior Galette,21.5,2010,8,1.66,0.58,0.72,124.27,0.59,0.724
Greg Hardy,33,2010,6,1.64,0.47,0.69,111.87,-0.33,0.379
Jerry Hughes,15,2010,1,2.4,0.97,1.74,131.31,1.11,0.86
Brandon Lang,1,2010,8,1.98,1.12,0.86,89.07,-2.02,0.019
Jason Pierre-Paul,29.5,2010,1,1.77,0.76,0.77,103.5,-0.95,0.158
