first_name,last_name,sacks
Nigel,Bradham,3.5
Andre,Branch,14.0
Quinton,Coples,16.5
Tyrone,Crawford,8.0
Darius,Fleming,0.0
Melvin,Ingram,16.5
Bruce,Irvin,22.0
Malik,Jackson,14.5
Jonathan,Massaquoi,6.0
Shea,McClellin,7.5
Whitney,Mercilus,30.0
Derrick,Shelby,9.0
Jacquies,Smith,13.5
Scott,Solomon,2.0
Nathan,Stupar,0.0
Olivier,Vernon,29.0
Kyle,Wilber,3.5
Billy,Winn,3.0
Sam,Acho,13.0
Akeem,Ayers,13.0
Allen,Bailey,7.0
Brandon,Bair,1.5
Mason,Foster,6.0
Justin,Houston,48.5
Ryan,Kerrigan,38.0
Cliff,Matthews,0.0
Pernell,McPhee,17.0
Von,Miller,49.0
Dontay,Moch,1.0
Cheta,Ozougwu,1.0
Robert,Quinn,45.0
Brooks,Reed,14.5
D'Aundre,Reed,10.0
Aldon,Smith,44.0
Tyson,Alualu,11.0
Navorro,Bowman,9.0
Kavell,Conner,1.0
Carlos,Dunlap,27.5
A.J.,Edds,0.0
Junior,Galette,21.5
Greg,Hardy,33.0
Jerry,Hughes,15.0
Sergio,Kindle,0.0
Brandon,Lang,1.0
Arthur,Moats,5.0
Jason,Pierre-Paul,29.5
Ricky,Sapp,0.0
George,Selvie,2.5
Daniel,Te'o-Nesheim,5.0
Jason,Worilds,18.0
Robert,Ayers,6.5
Connor,Barwin,19.0
Everette,Brown,7.0
Victor,Butler,11.0
Aaron,Curry,5.5
Brian,Cushing,9.5
Pannel,Egboh,0.0
Larry,English,8.5
Jarron,Gilbert,0.0
Tim,Jamison,4.0
Paul,Kruger,15.5
Aaron,Maybin,6.0
Zach,Potter,0.0
Jarius,Wynn,6.5
Cliff,Avril,30.0
Calais,Campbell,21.0
Shawn,Crable,1.0
Vernon,Gholston,0.0
Quentin,Groves,2.5
Gary,Guyton,4.5
Erin,Henderson,1.5
Bryan,Kehl,1.0
CJ,Ah,6.0
Antwan,Barnes,9.5
Quincy,Black,3.5
Stewart,Bradley,3.0
Adam,Carriker,9.0
Quentin,Moses,3.5
Anthony,Spencer,15.5
Jason,Hatcher,6.5
Clint,Ingram,5.5
Stanley,McClover,1.0
James,Wyche,0.0
Carlos,Hall,14.5
John,Stamper,0.0
Ross,Kolodziej,4.0
Arnold,Miller,2.5
