"","year","first_name","last_name","pos","weight","forty_yard","bench_press","vertical_jump","shuttle"
"3",2012,"Jamie","Blatnick","DE",263,4.81,28,32.5,4.2
"4",2012,"Nigel","Bradham","OLB",241,4.56,24,37,4.37
"5",2012,"Andre","Branch","DE",259,4.67,19,32.5,4.25
"8",2012,"Quinton","Coples","DE",284,4.69,25,31.5,4.78
"10",2012,"Tyrone","Crawford","DE",275,4.82,28,33,4.44
"13",2012,"Darius","Fleming","OLB",245,4.71,27,33.5,4.28
"17",2012,"Melvin","Ingram","OLB",264,4.69,28,34.5,4.18
"18",2012,"Bruce","Irvin","OLB",245,4.41,23,33.5,4.03
"19",2012,"Malik","Jackson","DE",284,4.85,25,28,4.41
"20",2012,"Jamaar","Jarrett","DE",265,4.96,21,30,4.34
"22",2012,"Chandler","Jones","DE",266,4.77,22,35,4.38
"23",2012,"Ronnell","Lewis","OLB",253,4.65,36,31,4.4
"25",2012,"Brandon","Lindsey","OLB",254,4.85,23,33,4.28
"27",2012,"Brandon","Marshall","OLB",242,4.72,28,30.5,4.09
"28",2012,"Jonathan","Massaquoi","OLB",264,4.81,20,33.5,4.53
"29",2012,"Shea","McClellin","OLB",260,4.62,19,31.5,4.33
"30",2012,"Whitney","Mercilus","DE",261,4.68,27,32,4.53
"32",2012,"Nick","Perry","DE",271,4.55,35,38.5,4.66
"33",2012,"Derrick","Shelby","DE",266,4.87,26,35.5,4.5
"34",2012,"Jacquies","Smith","DE",253,4.75,21,31.5,4.31
"35",2012,"Scott","Solomon","DE",262,4.88,34,35,4.25
"36",2012,"Nathan","Stupar","OLB",241,4.65,21,31,4.28
"38",2012,"Olivier","Vernon","DE",261,4.73,31,34.5,4.5
"40",2012,"Kyle","Wilber","OLB",249,4.73,25,33.5,4.31
"41",2012,"Billy","Winn","DE",294,4.86,24,27,4.44
"42",2011,"Sam","Acho","OLB",262,4.67,23,33.5,4.32
"43",2011,"Akeem","Ayers","OLB",254,4.81,18,31,4.28
"44",2011,"Allen","Bailey","DE",285,4.71,27,36.5,4.56
"45",2011,"Brandon","Bair","DE",276,4.92,26,28,4.37
"49",2011,"Chris","Carter","OLB",248,4.58,27,36,4.34
"50",2011,"Ugo","Chinasa","DE",264,4.63,22,28,4.39
"54",2011,"Ricky","Elmore","DE",255,4.88,26,31.5,4.32
"55",2011,"Mason","Foster","OLB",245,4.75,22,31,4.45
"56",2011,"Sandon","Herzlich","OLB",244,4.91,29,32.5,4.46
"58",2011,"Ross","Homan","OLB",240,4.66,32,35.5,4.34
"59",2011,"Justin","Houston","OLB",270,4.62,30,36.5,4.37
"60",2011,"Cameron","Jordan","DE",287,4.74,25,31,4.37
"61",2011,"Patrick","Kerrigan","DE",267,4.67,31,33.5,4.39
"65",2011,"Cliff","Matthews","DE",257,4.81,17,32,4.37
"66",2011,"Pernell","McPhee","DE",278,4.91,20,28.5,4.59
"67",2011,"Bruce","Miller","OLB",254,4.81,35,31,4.34
"68",2011,"Von","Miller","OLB",246,4.42,21,37,4.06
"69",2011,"Dontay","Moch","OLB",248,4.4,21,42,4.38
"70",2011,"Cheta","Ozougwu","DE",247,4.84,26,34.5,4.31
"71",2011,"Robert","Quinn","DE",265,4.62,22,34,4.4
"72",2011,"Brooks","Reed","OLB",263,4.65,30,30.5,4.28
"73",2011,"D'Aundre","Reed","DE",261,4.84,30,35.5,4.32
