Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Garrett Scott,,,2014,Marshall,OT,6.37,307,34.75,9.88,5.05,1.64,4.4,7.09,25,33.5,9.58,119.5,143.3,2,3.5
Beau Allen,,,2014,Wisconsin,DT,6.2,333,32.13,10.13,5.02,1.75,4.5,7.27,30,31,8.67,123.9,117,3.2,3.1
Aaron Donald,13,STL,2014,Pittsburgh,DT,6.05,285,32.63,9.88,4.68,1.63,4.39,7.11,35,32,9.67,138.1,136,2.5,2.8
Cole Pensick,,,2014,Nebraska,OC,6.03,282,30.63,9.5,5.01,1.74,4.41,7.31,29,39,9.08,125.6,124.4,2.6,2.6
Taylor Lewan,11,TEN,2014,Michigan,OT,6.59,309,33.88,9.25,4.87,1.71,4.49,7.39,29,30.5,9.75,125.2,129.3,2.4,2.6
Garry Gilliam,,,2015,Penn State,OT,6.46,306,0,0,5.03,1.68,4.56,7.59,19,35,9.42,109.2,128.3,1.3,2.5
Allen Robinson,61,JAX,2014,Penn State,WR,6.21,208,32,9.5,4.47,1.53,4,6.54,17,42,10.9,137.1,140.4,2.3,2.5
Ryan Shazier,15,PIT,2015,Ohio State,OB,6.09,237,32.38,10,4.38,1.56,4.21,6.91,25,42,10.83,147.3,152.2,2.4,2.4
Nathan Slaughter,,,2014,West Texas A&M,WR,5.73,184,29.63,8.75,4.34,1.45,4.18,7.18,16,44.5,11.5,131.9,138.6,1.9,2.3
Robert Hayes,,,2014,Shepherd,DT,6.09,267,31.13,9.25,4.87,1.67,4.36,7.08,29,33,10.25,121.6,128.1,1.5,2.3
Laurent Duvernay-Tardif,,,2014,McGill (CA),OT,6.42,298,33,11,4.94,1.72,4.59,7.21,34,31.5,9.5,120.5,123.8,2.1,2.2
Kevin Pierre-Louis,,,2014,Boston College,OB,6.04,232,32.25,10.13,4.51,1.56,4.02,6.92,28,39,10.67,146.9,148.7,2.4,2.2
Jerick McKinnon,96,MIN,2014,Georgia Southern,RB,5.72,209,30.25,8.63,4.41,1.55,4.12,6.83,34,40.5,11,149,146.6,2.5,2.2
Colt Lyerla,,,2014,Oregon,TE,6.31,242,32.75,10.25,4.61,1.61,4.11,6.84,15,39,10.67,129.1,140,1.5,2.1
Demetrius Rhaney,,,2014,Tennessee State,OC,6.13,301,32,9.5,4.9,1.75,4.22,7.59,24,29,9.17,124.8,116.2,2.6,2.1
Khalil Mack,5,OAK,2014,Buffalo,OB,6.21,251,33.25,10.13,4.55,1.53,4.18,7.08,23,40,10.67,140.9,147.9,1.9,2
Ebo Makinde,,,2014,Boise State,DS,5.83,179,0,0,4.24,1.46,3.91,6.42,16,39,10.75,135.5,140.7,1.8,2
Jay Finch,,,2014,Georgia Tech,OC,6.21,291,32.13,10.38,4.92,1.71,4.7,7.33,28,31.5,9.25,110.6,115.8,1.6,2
Tyler Huber,,,2014,Wisconsin Whitewater,WR,6.08,198,31,9.25,4.48,1.55,4.11,6.68,28,42,10.8,141.8,134.9,2.7,2
Jason Verrett,25,SDC,2014,TCU,CB,5.79,189,30.63,9.25,4.38,1.5,4,6.67,19,39.5,10.67,134.4,135.9,2.1,2
Stanley Jean-Baptiste,58,NOS,2014,Nebraska,CB,6.21,218,32.38,8.63,4.45,1.55,4.19,6.69,13,41.5,10.67,128.3,135.8,1.6,2
Brandon Denmark,,,2014,Florida A&M,OB,6.27,244,0,0,4.65,1.55,4.33,6.98,28,40,11.25,134.9,147.3,1.5,2
Torrance Hunt,,,2014,Georgia Southern,RB,5.58,182,0,0,4.28,1.51,4.21,6.74,15,43.5,11.25,129.9,144.1,1.2,2
Matt Patchan,,,2014,Boston College,OT,6.52,302,33,9.38,4.97,1.72,4.63,7.45,22,33.5,9.42,110.4,120.3,1.4,2
Greg Robinson,2,STL,2016,Auburn,OT,6.42,332,35,10,4.92,1.72,4.86,7.8,32,28.5,9.42,118.4,119.9,2,2
Jeff Janis,,,2014,Saginaw Valley State,WR,6.23,219,32.5,9,4.42,1.55,3.98,6.64,20,37.5,10.3,138.6,133.1,2.5,1.9
Dashaun Phillips,,,2014,Tarleton State,CB,5.95,182,29.75,9,4.48,1.57,3.97,6.65,14,39,11.25,123.7,133.9,1.2,1.9
Mike Hunchak,,,2014,Monmouth (NJ),OC,6.23,286,0,0,5.04,1.69,4.53,7.46,26,28,9.17,99.4,113.1,0.8,1.9
A.C. Leonard,,,2014,Tennessee State,TE,6.19,252,33,9.25,4.5,1.51,4.4,7.14,20,34,10.67,122,136,1.1,1.8
Lache Seastrunk,,,2015,Baylor,RB,5.79,201,30,9.25,4.37,1.55,4.25,6.8,15,41.5,11.17,127.1,141.3,1,1.8
Horace Miller,,,2014,UTEP,OB,6.01,239,0,0,4.44,1.6,4.25,6.99,21,37.5,10.83,133.9,143.4,1.4,1.8
Austin Seferian-Jenkins,38,TBP,2014,Washington,TE,6.45,262,33.75,9.75,4.56,1.58,4.23,6.97,20,37.5,9.58,135.8,134.4,2,1.8
Mohammed Seisay,,,2014,Nebraska,CB,6.08,202,33.5,9.25,4.52,1.58,4.13,6.5,13,39,11,120.4,132.5,1,1.8
Ra'Shede Hageman,37,ATL,2014,Minnesota,DE,6.47,312,34.25,10.25,5.02,1.75,4.5,7.87,32,35.5,9.5,127.8,120.6,1.9,1.7
Anthony Barr,9,MIN,2014,UCLA,OB,6.39,250,33.5,9.38,4.41,1.57,4.19,6.82,19,34.5,10.42,132.7,142,1.4,1.7
Stephen Houston,,,2014,Indiana,RB,5.85,225,30.75,9,4.52,1.58,4.23,7.07,24,40,11,135.6,139.7,1.6,1.7
Donte Moncrief,90,IND,2014,Ole Miss,WR,6.19,221,32.38,9.13,4.4,1.54,4.3,7.02,11,39.5,11,121.4,130.6,1.1,1.7
Ulrick John,,,2014,Georgia State,OT,6.48,297,0,0,5.02,1.68,4.62,7.2,20,30,8.92,97.1,116.3,0.5,1.7
