name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
David Watford,QB,,6015,210,4.56,4.35,38,28,129
Jalen Whitlow,QB,,6015,221,4.64,4.38,37,,118
Cardale Jones,QB,23.9,6050,253,4.81,,36,,117.6
Jeff Driskel,QB,23.4,6040,234,4.56,4.25,32,,117.4
Steven Bench,QB,,6010,206,4.63,4.31,35.5,,117.2
Matt Shiltz,QB,,6020,197,4.61,4.25,36,,116.9
Paxton Lynch,QB,22.6,6065,244,4.86,4.26,36,,113.1
Carson Wentz,QB,23.7,6052,237,4.77,4.15,30.5,,112.9
Derrius Vick,QB,,6015,192,4.63,4.32,32,,109
Josh Woodrum,QB,23.8,6027,231,4.8,4.31,31,,107.6
Joel Stave,QB,24.3,6052,236,4.8,4.33,33.5,,106.5
Phillip Ely,QB,,5117,205,4.74,4.28,35,22,106.4
Sean Goldrich,QB,,6022,215,4.81,4.34,33,,106.4
Jarred Evans,QB,,6003,187,4.67,4.47,33.5,11,105.7
Dak Prescott,QB,23.1,6022,226,4.79,4.32,32.5,,104.9
Kevin Hogan,QB,23.9,6032,218,4.78,4.31,32.5,,104.5
Christian Hackenberg,QB,21.5,6043,223,4.78,4.33,31,,102.2
Travis Wilson,QB,,6072,232,4.83,4.25,31.5,,101.6
Sam Richardson,QB,,6012,206,4.74,4.5,35,,101.5
Jerrard Randall,QB,,6000,190,4.73,4.36,35,14,100.5
Connor Cook,QB,23.6,6040,217,4.79,4.28,33,,100.2
Blake Frohnapfel,QB,,6055,230,4.75,4.57,33,,99.3
Marquise Williams,QB,,6017,218,4.81,4.37,32.5,,97.3
Kendal Thompson,QB,,6015,190,4.7,4.28,30,11,97.1
Vernon Adams,QB,23.7,5107,200,4.83,4.2,29.5,,96.8
Kieran McDonagh,QB,,6006,240,4.78,4.4,32,16,95.8
Zack Oliver,QB,,6032,223,4.87,4.38,34,,94.3
Trevone Boykin,QB,23,6000,212,4.77,4.4,32,,94
Cody Kessler,QB,23.3,6012,220,4.89,4,29.5,,90.6
John Gibbs Jr.,QB,,6052,226,4.75,4.55,28.5,12,90.4
Mike Bercovici,QB,,6004,206,4.84,4.27,28,,90
Brandon Allen,QB,24,6013,217,4.84,4.33,28,,89.2
Jacoby Brissett,QB,23.7,6036,231,4.94,4.53,31,,89
Christian LeMay,QB,,6023,215,4.84,,30,,88.7
Jake Rudock,QB,,6030,207,4.88,4.22,29,,88.3
