"","year","first_name","last_name","weight","forty_yard","bench_press","vertical_jump","shuttle","sparq","sparq_percent_rank","sparq_z"
"1",2016,"Matt","Judon",275,4.73,30,35,4.52,126.12,0.841,0.92
"2",2016,"Giorgio","Newberry",285,4.94,20,30,4.78,95.47,0.081,-1.4
"3",2016,"Leonard","Floyd",244,4.6,16,39.5,4.34,123.43,0.77,0.72
"4",2016,"Dean","Lowry",296,4.87,30,32.5,4.38,126.04,0.837,0.91
"5",2016,"Sterling","Bailey",285,5.23,20,30,4.73,86.57,0.018,-2.07
"6",2016,"Joey","Bosa",269,4.86,24,32,4.21,118.76,0.643,0.36
"7",2016,"Noah","Spence",251,4.8,25,35,4.35,118.14,0.604,0.32
"8",2016,"Carl","Nassib",277,4.84,21,28.5,4.37,107.81,0.314,-0.46
"9",2016,"Jonathan","Bullard",285,4.93,23,32,4.56,108.32,0.325,-0.43
"10",2016,"Yannick","Ngakoue",252,4.75,26,34.5,4.5,115.81,0.541,0.14
"11",2016,"Emmanuel","Ogbah",273,4.63,20,35.5,4.5,121.53,0.728,0.57
"12",2016,"Ronald","Blair",284,5.15,32,30,4.53,106.23,0.269,-0.58
"13",2016,"Shawn","Oakman",287,4.96,23,32,4.56,107.71,0.304,-0.47
"14",2016,"Dadi","Nicolas",235,4.74,14,41,4.38,115.19,0.523,0.09
"15",2016,"DeForest","Buckner",291,5.05,21,32,4.47,106.23,0.269,-0.58
"16",2016,"Bronson","Kaufusi",285,4.87,25,30,4.25,118.62,0.629,0.35
"17",2016,"Shilique","Calhoun",251,4.82,23,35,4.25,118.65,0.633,0.35
"18",2016,"Romeo","Okwara",265,4.9,23,33,4.53,107.14,0.29,-0.52
"19",2016,"James","Cowser",248,4.82,21,31.5,4.31,108.37,0.332,-0.42
"20",2016,"Charles","Tapper",271,4.59,23,34,4.5,122.96,0.763,0.68
"21",2016,"Anthony","Zettel",277,4.81,28,30.5,4.39,118.2,0.608,0.32
"22",2016,"Shaq","Lawson",269,4.7,20,33,4.21,122.71,0.76,0.66
"23",2016,"Branden","Jackson",273,5.06,20,31.5,4.77,90.99,0.053,-1.74
"24",2016,"Jihad","Ward",297,5.11,20,25,4.63,88.3,0.032,-1.94
"25",2016,"Kevin","Dodd",277,4.86,22,30.5,4.44,109.16,0.353,-0.36
"26",2016,"Jason","Fanaika",271,4.92,23,35.5,4.39,116.22,0.551,0.17
"27",2016,"D.J.","Pettway",265,4.99,17,28,4.69,85.26,0.007,-2.17
