first_name,last_name,draft,games,tfls,sacks,production_ratio
Giorgio,Newberry,8,14,3,2,0.36
Leonard,Floyd,1,24,17,10.5,1.15
Dean,Lowry,4,25,21,7,1.12
Sterling,Bailey,8,24,3,1.5,0.19
Joey,Bosa,1,27,37.5,18.5,2.07
Noah,Spence,2,13,14,7.5,1.65
Carl,Nassib,3,15,22,16.5,2.57
Jonathan,Bullard,3,26,26.5,9,1.37
Yannick,Ngakoue,3,25,28,19,1.88
Emmanuel,Ogbah,2,26,29.5,22.5,2
Ronald,Blair,5,25,32,12.5,1.78
Shawn,Oakman,8,25,34,15.5,1.98
Dadi,Nicolas,6,26,25,11,1.38
DeForest,Buckner,1,28,30,14.5,1.59
Bronson,Kaufusi,3,23,30,17,2.04
Shilique,Calhoun,3,25,27.5,18.5,1.84
Romeo,Okwara,8,23,17.5,12,1.28
Charles,Tapper,4,26,15,8,0.88
Anthony,Zettel,6,25,28,12,1.6
Shaq,Lawson,1,27,36,16,1.93
Branden,Jackson,8,22,13.5,5,0.84
Jihad,Ward,2,24,13,5.5,0.77
Kevin,Dodd,2,20,26.5,12.5,1.95
D.J.,Pettway,8,23,8.5,4.5,0.57
