name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Mike Mitchell,LB,6-3.5,216,4.39,4,40.6,45,28,154.47
Altee Tenpenny,RB,5-11.5,212,4.42,3.97,36.9,45,28,144.99
Derrick Henry,RB,3-Jun,243,4.45,4.15,41.4,44.5,28,144.6
Derrick Henry,RB,3-Jun,243,4.52,4.12,41.9,44.5,28,141.87
Colin Spencer,CB,5-9.5,174,4.42,3.87,41.7,39.5,19,141.12
Mike Mitchell,LB,6-3.5,216,4.45,4.25,40.3,47,32,140.76
Peter Kalambayi,LB,3-Jun,238,4.52,4.19,37.6,44,27,138.96
Jalen Ramsey,CB,Jun-00,190,4.4,4.06,40.7,40,20,138.33
Derrick Henry,RB,3-Jun,240,4.58,4.15,40.3,42,23,138.03
Altee Tenpenny,RB,5-11.5,212,4.46,4.22,36.9,43.5,26,132.39
Jalen Ramsey,CB,Jun-00,185,4.63,4.04,40.3,41,22,130.32
Colin Spencer,CB,5-9.5,179,4.45,3.91,38.7,38.5,18,130.17
Colin Spencer,CB,5-9.5,179,4.48,3.97,40.2,39,18,130.02
Peter Kalambayi,LB,3-Jun,238,4.62,4.25,35.6,41.5,23,129.42
Kavin Alexander,RB,5-8.5,174,4.54,4,41.6,39,18,129.24
Ryan Green,RB,10-May,187,4.46,4.22,38.4,41.5,23,129
Marcus Williams,S,11-May,196,4.43,4.06,39.4,36.5,14,128.91
Jason Hatcher,DL,2-Jun,240,4.82,4.06,34.4,45.5,29,127.83
Ryan Green,RB,10-May,187,4.45,4.22,37.1,42,23,127.71
Dorian O'daniel,LB,1-Jun,201,4.53,4.19,37.1,42.5,24,127.62
Jalen Ramsey,CB,Jun-00,190,4.54,4.22,39.8,41,22,126.75
Jordan Sherit,DL,6-4.5,234,4.69,4.28,36.2,46,30,125.64
Jordan Sherit,DL,6-4.5,234,4.78,4.28,36.9,46.5,31,124.8
Dorian O'daniel,LB,1-Jun,201,4.55,4.19,35.8,43,25,124.47
O.J. Howard,TE,6-5.5,220,4.49,4.31,34,48,33,124.23
Jason Hatcher,DL,2-Jun,240,4.68,4.28,34,44,27,123.57
Ryan Jenkins,WR,11-May,176,4.53,4.01,41.3,36,13,122.88
Jazz Peavy,WR,1-Jun,170,4.5,4,33.8,40.5,21,122.52
Jeryl Brazil,CB,5-9.5,181,4.32,4.5,36.9,41.5,23,122.4
RaSean Jones,WR,Jun-00,183,4.7,4.36,42.5,41,22,120.69
Hatari Byrd,S,1-Jun,190,4.62,4.12,35.6,41,22,120.39
Ryan Jenkins,WR,10-May,179,4.59,3.94,38.9,37,15,120.24
Braxton Berrios,WR,10-May,170,4.6,3.9,39.3,37,15,119.52
Kevin King,CB,2-Jun,172,4.67,3.93,38.6,39,18,119.49
Jordan Reus,WR,10-May,161,4.57,3.9,38,38,17,119.28
John Kreifels,S,5-8.5,194,4.58,4.29,36.2,42,23,118.86
Kevin Palma,LB,6-1.5,236,4.75,4.15,31.1,46,30,118.77
Keanu Neal,S,1-Jun,203,4.59,4.12,36.9,38.5,18,118.59
Ezekiel Elliot,RB,Jun-00,198,4.42,4.16,33.6,38,17,118.11
Deangelo Yancey,WR,6-1.5,201,4.66,4.25,34.9,41.5,23,116.61
Jalin Marshall,WR,11-May,196,4.66,4.13,38.2,38.5,18,116.49
Alvin Kamara,RB,10-May,192,4.55,4.28,39.1,39,18,116.13
Trey Burks,RB,8-May,183,4.63,4.11,38.6,38.5,18,116.04
Justin Davis,RB,1-Jun,194,4.71,4.12,37.3,40,20,115.98
Tommy Fuessel,QB,3-Jun,176,4.46,4.18,37,38,17,115.86
Mason Burnett,LB,4-Jun,205,4.65,4.2,36.3,40,20,115.65
Johnny Stanton,QB,2-Jun,220,4.79,4.24,34,41.5,23,115.56
Mike Dudek,WR,5-10.5,163,4.61,3.91,37,37.5,16,114.72
Matt Rolin,LB,6-3.5,209,4.79,4.3,36.5,44,27,114.72
Karris Johnson,RB,11-May,198,4.51,4.12,36.1,36,13,114.6
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
John Mundt,TE,6-4.5,227,4.76,4.32,33.9,41.5,23,114.57
Matthew Thomas,LB,3-Jun,205,4.59,4.27,35.6,40,20,114.36
Michael Lawless,LB,2-Jun,203,4.8,4.21,34.9,42,23,113.43
Torrodney Prevot,DL,3-Jun,201,4.67,4.25,33.1,44,27,113.43
Harvey Harris,RB,10-May,157,4.54,4.18,37.3,40,20,112.59
Johnny Ragin,LB,2-Jun,198,4.83,4.16,34.2,42.5,24,112.29
Diquan Gilbert,DE,5-11.5,194,4.76,4.06,30.6,42,23,112.05
Johnny Ragin,RB,6-2.5,198,4.71,4.28,33.8,42,23,111.48
Johnny Ragin,RB,6-2.5,198,4.71,4.28,33.8,42,23,111.48
David Williams,RB,6-.5,183,4.44,4.28,34.6,38,17,111.3
Andrew Ballin,CB,11-May,170,4.6,4.32,35.7,42,23,110.97
Isaac Savaiinaea,LB,3-Jun,231,4.66,4.14,31,38,17,110.82
Jarek Hilgers,RB,1-Jun,201,4.63,4.26,41.2,33.5,9,110.64
Robert Sylvester,WR,5-11.5,163,4.54,4.25,41,37,15,110.64
Shaun Rupert,CB,Jun-00,179,4.71,4.28,37.7,40.5,21,110.13
Austin Guido,RB,10-May,192,4.67,4.03,31.1,39.5,19,109.86
Devin Butler,CB,1-Jun,179,4.64,4.32,36.7,40.5,21,109.53
Shaun Kagawa,CB,10-May,172,4.53,4.09,35.7,36.5,14,109.5
Pali Galdeira,S,10-May,183,4.65,3.91,31.6,37.5,16,108.84
Bronson Jones,CB,Jun-00,170,4.68,4.15,35.8,40,20,108.75
Tyquan Lewis,DL,3-Jun,225,4.77,4.41,37.3,38.5,18,108.57
Brandon Jones,CB,5-10.5,168,4.62,4.25,35.2,40.5,21,108.54
Brian Jennings,RB,10-May,190,4.71,4.35,35.7,41,22,108.45
Rodney Bryson,RB,11-May,183,4.59,4.13,35.6,37,15,108.42
Matthew Thomas,WR,3-Jun,201,4.65,4.09,33.5,37,15,108.36
Brendan Langley,CB,1-Jun,181,4.61,4.14,35,38,17,108.33
Jacob Simons,QB,6-2.5,183,4.54,4.25,32.8,40,20,108.33
Levonte Whitfield,WR,5-8.5,176,4.37,4.27,34.3,36,13,108.24
Payton Holmes,QB,10-May,176,4.68,4,33.4,37.5,16,108.15
Alex Anzalone,LB,6-2.5,229,4.73,4.34,29.3,42.5,24,108.09
Cameron Williams,TE,3-Jun,256,5.25,4.18,30.6,41,22,107.91
Aeron Carr,WR,9-May,159,4.49,4.32,39.3,37.8,16,107.82
Brandon Monroe,S,11-May,194,4.64,4.19,33.1,39.5,19,107.82
Miguel Hermosillo,RB,10-May,190,4.52,4.27,35.4,37,15,107.34
Steven Mitchell,WR,10-May,176,4.55,4.12,33.5,37.5,16,107.34
John Haggart,RB,1-Jun,205,4.67,4.26,35.2,38,17,107.22
Ross Douglas,CB,10-May,181,4.5,4.09,33.2,35.5,13,107.07
Johnny Cooley,RB,10-May,181,4.84,4.01,36.4,37.5,16,106.98
Maurice Smith,CB,11-May,174,4.51,4.09,30.8,38,17,106.89
Jake Juneau,WR,5-9.5,174,4.67,4.25,34.1,40.5,21,106.59
Eddie Vanderdoes,DL,3-Jun,302,5.12,4.61,30.3,42,23,106.59
Jesse Bray,WR,Jun-00,194,4.74,4.26,32.3,41,22,106.14
Addison Johnson,WR,5-7.5,161,4.53,4.1,38.7,33.5,9,105.99
Parker Davis,RB,11-May,198,4.61,4.09,32.8,36,13,105.93
Jaylon Smith,LB,3-Jun,212,4.59,4.41,32.6,40,20,105.81
Tyrone Swoopes,QB,6-4.5,229,4.77,4.32,29.3,41,22,105.81
Chequan Burkett,LB,Jun-00,201,4.87,4.25,33.6,41,22,105.78
Samolu Jallah,S,9-May,183,4.87,4.34,42,38,17,105.78
Reggie Davis,WR,Jun-00,159,4.52,3.98,32.4,35.5,13,105.75
Travis Custis,RB,5-11.5,207,4.67,4.35,36.6,37.5,16,105.6
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Heath Harding,RB,10-May,170,4.53,4.19,37.8,35,12,105.45
Marcell Harris,S,1-Jun,207,4.58,4.28,32,38,17,105.39
Ryan Severson,LB,10-May,183,4.46,4.27,34.4,36,13,105.36
Jordan Dooley,RB,10-May,183,4.59,4.29,36.7,37.5,16,105.09
Chris James,RB,9-May,194,4.48,4.35,37.4,34,10,105.06
Holland Fisher,S,1-Jun,196,4.7,4.37,36.4,39.5,19,105
Corbin Jountti,RB,5-11.5,198,4.79,4.23,35.8,39,18,104.88
Layne Johs,S,10-May,201,4.74,4.35,32.3,41,22,104.76
NICHORIAN MARDIS,DB,10-May,194,4.5,4.19,33,35,12,104.7
Gary Jaycox,CB,Jun-00,205,4.84,4.41,35.4,41,22,104.64
Logan Cox,DB,2-Jun,185,4.75,4.29,36.2,40,20,104.61
Matt Milano,S,Jun-00,194,4.64,4.25,34.3,38,17,104.52
Jeffrey Williams,LB,6-1.5,214,4.82,4.5,34.4,42,23,104.49
Tyler Hayes,CB,11-May,192,4.65,4.28,35.3,38,17,104.43
Taquan Mizzell,RB,10-May,183,4.57,4.06,30.6,37,15,104.37
Jeff Anderson,RB,5-11.5,216,4.98,4.32,33,42,23,104.28
Marcus Smith,RB,5-8.5,168,4.59,3.9,36.6,31,5,104.28
James Graham,RB,10-May,185,4.7,4.36,36.4,40,20,104.22
O.J. Howard,TE,6-5.5,225,4.63,4.44,33.2,38.5,18,104.22
Carson Jackson,WR,2-Jun,190,4.65,4.12,31,38.5,18,104.19
Kyle Keller,QB,6-2.5,209,5.03,4.3,34,43,25,104.16
Evan Peters,WR,5-10.5,174,4.77,3.9,32.8,37,15,103.98
Chaz Thornton,RB,8-May,170,4.55,4.16,34,37,15,103.98
Philip Wright,LB,1-Jun,223,4.88,4.36,37.4,37,15,103.98
Hank Dutton,S,5-11.5,192,4.64,4.16,34,36.5,14,103.95
Trevond Reese,RB,Jun-00,194,4.63,4.44,31,42,23,103.95
Shakeir Ryan,WR,8-May,148,4.41,4.25,32.8,38,17,103.95
Berkley Edwards,RB,9-May,181,4.51,4.43,37.8,36.5,14,103.71
Brendan Langley,WR,1-Jun,181,4.61,4.19,36.3,36,13,103.71
Nick Washington,DB,Jun-00,183,4.53,4.22,32.9,37,15,103.68
Addison Johnson,WR,8-May,168,4.57,4.19,39.4,33.5,9,103.56
Adam Lane,RB,8-May,216,4.72,4.32,33.6,38.5,18,103.47
Joshua Smith,WR,6-.5,183,4.58,4.37,33.3,40,20,103.47
Paul Davis,S,11-May,201,4.69,4.38,35,39.5,19,103.38
Javon Harrison,QB,Jun-00,207,4.72,4.3,27.9,43.5,26,103.17
Jalen Rhodes,RB,8-May,179,4.7,4.09,32.8,38,17,103.08
Jack Ferguson,LB,1-Jun,247,4.85,4.45,28.8,42,23,103.05
Ty Griffin,QB,Jun-00,176,4.55,4.25,38,34,10,103.05
A'shawn Robinson,DL,5-Jun,304,5.13,4.62,28.4,40.5,21,103.02
Darrien Howard,LB,Jun-00,251,4.83,4.53,29.1,41.5,23,102.99
Marcus Robinson,LB,6-3.5,207,4.82,4.41,32.5,42,23,102.87
Cory Battle,RB,7-May,150,4.62,4.18,42.5,33,8,102.84
Tyler Lancaster,OL,6-3.5,269,4.98,4.59,29.5,43,25,102.84
Torrodney Prevot,DL,6-3.5,205,4.67,4.28,31.9,39,18,102.81
Michael Epley,DE,6-2.5,231,4.95,4.12,30.7,38.5,18,102.72
Jordan Hicks,CB,7-May,165,4.5,4.32,37.7,36,13,102.72
Kody Conner,QB,5-11.5,194,4.66,4.23,31.8,39,18,102.66
Pat Price Miller,LB,6-1.5,198,4.9,4.06,34.9,37,15,102.66
Alex Muir,WR,9-May,165,4.65,4.16,39.6,34,10,102.66
Jacques Bryant,LB,Jun-00,176,4.77,4.56,38.2,43,25,102.63
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Carter Odenweller,CB,11-May,163,4.53,4.1,34.9,34.5,11,102.6
Bralon Cherry,WR,5-11.5,174,4.56,4.27,35.8,36.5,14,102.54
Elijah Daniel,DL,3-Jun,249,4.82,4.55,31,40.5,21,102.54
Conner Bor,S,Jun-00,201,4.92,4.45,35.8,44,27,102.51
John Franklin,WR,Jun-00,216,4.84,4.36,31.2,41,22,102.45
Derrick Estell,RB,11-May,185,4.69,4.09,36,34,10,102.3
Jordan Robinson,RB,9-May,172,4.6,4.23,37.1,36,13,102.3
Chase Pankey,CB,5-11.5,170,4.61,4.3,36.3,38,17,102.24
Dj Spurling,LB,5-10.5,214,4.79,4.32,36.6,36.5,14,101.97
Jacorey Warrick,WR,10-May,168,4.62,4.13,35.8,35.5,13,101.79
Zach Vaughan,LB,6-4.5,203,4.78,4.15,29.2,40,20,101.58
Colton Goeas,LB,Jun-00,247,4.86,4.17,28.9,37.5,16,101.55
Ebenezer Ogundeko,DL,3-Jun,227,4.91,4.59,33.8,42.5,24,101.55
Delano Hill,S,Jun-00,198,4.44,4.34,31.6,35,12,101.52
Raymond Hudson,LB,4-Jun,227,4.92,4.27,28.5,41,22,101.43
Dontre Wilson,RB,10-May,174,4.51,4.31,33.2,37.5,16,101.28
Keyshawn Davis,RB,5-8.5,176,4.66,4.35,34.4,40,20,101.1
Ryan Severson,S,5-10.5,185,4.49,4.33,33.8,36,13,101.04
Darius West,DB,10-May,183,4.63,4.29,32.4,39.5,19,101.04
Scott Quessenberry,OL,6-3.5,276,5.1,4.4,29,40,20,100.89
Theo Berry,WR,10-May,183,4.63,4.25,35.8,36,13,100.71
Arrion Springs,DB,5-10.5,187,4.48,4.22,30.7,36,13,100.71
Henderson Gray,WR,10-May,174,4.72,4.31,38.9,37,15,100.62
Bayley Novak,WR,Jun-00,205,4.85,4.12,31.2,38.5,18,100.59
